Resource_Type,Framework,Name,Use_When,Subject_Line,Content,Notes_Why_It_Works,Industry,Contributor
7 - Subject Line Template,F4 Trigger Strike (Intent/Signal),Subject template,,congrats - [Company],,,,
7 - Subject Line Template,F4 Trigger Strike (Intent/Signal),Subject template,,your [initiative] at [Company],,,,
7 - Subject Line Template,F4 Trigger Strike (Intent/Signal),Subject template,,[topic] from your [podcast/article],,,,
8 - Subject Line Real Examples,F4 Trigger Strike (Intent/Signal),Real subjects from source doc,,,insurance experience alignment | Reconnecting: Employee experience updates | Exciting news: Qualtrics/Hyundai partnership | Shari Llona conversations <> Qualtrics,,,
6 - Subject Line Strategy,F5 Borrowed Trust (Referral/On-site),Subject strategy - F5 Borrowed Trust (Referral/On-site),,,The referrer's name is the highest-trust word in an inbox - lead with it. On-site: city + timing is the hook. Questions OK (warm-ish).,"A/B: ""[Referrer] suggested I reach out"" (full context) vs ""[Referrer] -> you"" (ultra-short). When the referrer is senior/known, the short version wins.",,
7 - Subject Line Template,F5 Borrowed Trust (Referral/On-site),Subject template,,[Referrer] suggested I reach out,,,,
7 - Subject Line Template,F5 Borrowed Trust (Referral/On-site),Subject template,,[Referrer] -> [first name],,,,
7 - Subject Line Template,F5 Borrowed Trust (Referral/On-site),Subject template,,[Referrer]'s intro,,,,
7 - Subject Line Template,F5 Borrowed Trust (Referral/On-site),Subject template,,in [City] [date],,,,
7 - Subject Line Template,F5 Borrowed Trust (Referral/On-site),Subject template,,[City] next week,,,,
7 - Subject Line Template,F5 Borrowed Trust (Referral/On-site),Subject template,,coffee while we're in [City]?,,,,
8 - Subject Line Real Examples,F5 Borrowed Trust (Referral/On-site),Real subjects from source doc,,,New to Pittsburgh! | A quick intro to AJ + A Raleigh hello,,,
9 - Swap-In Bank: Openers,ALL,Opener - Existing customer,Existing customer,,Reaching out on behalf of the [Company] account team here at Qualtrics.,,,
9 - Swap-In Bank: Openers,ALL,Opener - Existing customer,Existing customer,,I'm on the Qualtrics team supporting [Company].,,,
9 - Swap-In Bank: Openers,ALL,Opener - Co-owned w/ colleague,Co-owned w/ colleague,,I support the [Company] + Qualtrics relationship alongside [Colleague].,,,
9 - Swap-In Bank: Openers,ALL,Opener - Inherited account,Inherited account,,Great to e-meet you! My name is [Name] and I work alongside [Colleague] here at Qualtrics.,,,
9 - Swap-In Bank: Openers,ALL,Opener - New role,New role,,Major congrats on the new role at [Company] - exciting to see!,,,
9 - Swap-In Bank: Openers,ALL,Opener - Cold / role-based,Cold / role-based,,"After seeing your role as [title] and your background in [domain], I wanted to reach out about...",,,
9 - Swap-In Bank: Openers,ALL,Opener - Referral,Referral,,"I'm reaching out at the suggestion of [Referrer], who recommended I connect with you regarding...",,,
9 - Swap-In Bank: Openers,ALL,Opener - Intent signal,Intent signal,,Just gave you a call. I saw that you [watched a demo / requested pricing]...,,,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Banking / FSI,Banking / FSI,,"Citi, AMEX, JPMC, US Bank","Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Life Sciences (HR/EX),Life Sciences (HR/EX),,"Boston Scientific, Johnson & Johnson, Roche","Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Healthcare (metrics),Healthcare (metrics),,"drive NPS, CAHPS, HCAHPS, and patient satisfaction","Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Insurance,Insurance,,"Allstate, Cigna, Delta Dental","Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Hospitality / Travel,Hospitality / Travel,,"Delta, PGA TOUR, Disney, Keolis","Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Foodservice / Restaurants,Foodservice / Restaurants,,"Darden Restaurants, RBI, Brinker","Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - K-12 Education,K-12 Education,,"Pittsburgh Public Schools, Cranbrook Schools","Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Government (SLG),Government (SLG),,"San Bernardino, Shasta, Sacramento, Alameda counties","Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Credit Unions,Credit Unions,,Municipal,"Drop these into ""companies like..."" lines",,
10 - Swap-In Bank: Peer Proof,ALL,Named peers - Transportation,Transportation,,"Delta, Keolis","Drop these into ""companies like..."" lines",,
11 - Swap-In Bank: Reason To Talk Now,ALL,Value line 1,,,We've added exciting new AI capabilities in the past 12 months that global orgs are just beginning to deploy.,,,
11 - Swap-In Bank: Reason To Talk Now,ALL,Value line 2,,,We pair AI-powered automation with Natural Language Processing to understand where and when [customers/members] fall off.,,,
11 - Swap-In Bank: Reason To Talk Now,ALL,Value line 3,,,"An example: a quick search to immediately see which [nurses] are most likely to attrit within 3 months - by age, tenure, and location.",,,
11 - Swap-In Bank: Reason To Talk Now,ALL,Value line 4,,,Teams are reducing research timelines from months to days and cutting vendor costs.,,,
11 - Swap-In Bank: Reason To Talk Now,ALL,Value line 5,,,We've seen this reduce call volumes by 23% by fixing root causes hidden in siloed data.,,,
11 - Swap-In Bank: Reason To Talk Now,ALL,Value line 6,,,We're officially sunsetting legacy licenses with the advent of Qualtrics AI - you're on one being retired. (deadline lever),,,
12 - Swap-In Bank: CTAs,ALL,CTA #1 most common in winners,,,Would you be open to a 20-minute introductory call sometime next week?,Ranked by frequency across the 382 winners,,
12 - Swap-In Bank: CTAs,ALL,CTA #2,,,Would you have 20 minutes end of this week or early next so we can realign?,Ranked by frequency across the 382 winners,,
12 - Swap-In Bank: CTAs,ALL,CTA #3,,,Do you have 15 minutes to reconnect in the coming weeks?,Ranked by frequency across the 382 winners,,
12 - Swap-In Bank: CTAs,ALL,CTA #4,,,Are you available for 30 minutes Thursday or Friday to connect?,Ranked by frequency across the 382 winners,,
12 - Swap-In Bank: CTAs,ALL,CTA #5,,,What does your schedule look like this week or next for a quick 15 minutes?,Ranked by frequency across the 382 winners,,
12 - Swap-In Bank: CTAs,ALL,CTA #6 (on-site),,,Are you available for [AE] to stop by for 20 minutes?,Ranked by frequency across the 382 winners,,
13 - Pre-Send Checklist,ALL,Check 1,,,"Line 1 names the relationship + one specific true detail (no ""hope this finds you well"").",,,
13 - Pre-Send Checklist,ALL,Check 2,,,"Exactly one value idea, ideally with a named peer from the proof bank.",,,
13 - Pre-Send Checklist,ALL,Check 3,,,"A ""why now"" - what's new (AI) or a deadline (renewal/RFP/sunset).",,,
13 - Pre-Send Checklist,ALL,Check 4,,,"CTA is a small, specific, soft time ask ending in a question.",,,
13 - Pre-Send Checklist,ALL,Check 5,,,"Under ~130 words. No feature dump, no pricing, no attachment.",,,
13 - Pre-Send Checklist,ALL,Check 6,,,"Subject: <=4 words cold / <=6 warm, lowercase, no pitch, no ""AI"", no ""?"" or numbers in cold.",,,
13 - Pre-Send Checklist,ALL,Check 7,,,Pair the email with a same-day phone call / voicemail when possible (proven combo in replied winners).,,,
14 - Sources,ALL,Source dataset,,,Emails That Have SET MEETINGS - 382 real Qualtrics prospecting emails that booked meetings (43 with logged subject lines),,,
14 - Sources,ALL,Lavender,,,How to Write Cold Email Subject Lines That Get Opens - https://www.lavender.ai/blog/cold-email-subject-line-tips (500M+ emails),,,
14 - Sources,ALL,Gong,,,Cold Email Statistics - https://www.gong.io/blog/cold-email-stats and How to Master Cold Email (85M emails) - https://www.gong.io/resources/guides/how-to-master-cold-email-get-the-data-backed-guide-based-on-85-million-emails,,,
